filename,width,height,class,xmin,ymin,xmax,ymax
Karies-0-BGR.jpg,1350,818,karies,315,254,428,346
Karies-0-BGR.jpg,1350,818,karies,432,398,485,472
Karies-0-BGR.jpg,1350,818,karies,446,232,591,331
Karies-0-BGR.jpg,1350,818,karies,668,203,783,297
Karies-0-BGR.jpg,1350,818,karies,924,203,1065,300
Karies-0-BGR.jpg,1350,818,karies,1036,269,1134,340
Karies-0-BGR.jpg,1350,818,karies,596,545,678,618
Karies-0-BGR.jpg,1350,818,karies,812,543,892,609
Karies-0-BGR.jpg,1350,818,karies,1038,486,1090,536
Karies-0-BGR.jpg,1350,818,karies,1030,561,1175,665
Karies-0-BGR.jpg,1350,818,karies,61,307,123,365
Karies-0-BGR.jpg,1350,818,karies,124,304,191,355
Karies-0-BGR.jpg,1350,818,karies,180,237,284,319
Karies-0-BGR.jpg,1350,818,karies,718,547,779,595
Karies-0-BGR.jpg,1350,818,karies,1145,256,1216,315
Karies-0-gaussian-blur.jpg,1350,818,karies,315,254,428,346
Karies-0-gaussian-blur.jpg,1350,818,karies,432,398,485,472
Karies-0-gaussian-blur.jpg,1350,818,karies,446,232,591,331
Karies-0-gaussian-blur.jpg,1350,818,karies,668,203,783,297
Karies-0-gaussian-blur.jpg,1350,818,karies,924,203,1065,300
Karies-0-gaussian-blur.jpg,1350,818,karies,1036,269,1134,340
Karies-0-gaussian-blur.jpg,1350,818,karies,596,545,678,618
Karies-0-gaussian-blur.jpg,1350,818,karies,812,543,892,609
Karies-0-gaussian-blur.jpg,1350,818,karies,1038,486,1090,536
Karies-0-gaussian-blur.jpg,1350,818,karies,1030,561,1175,665
Karies-0-gaussian-blur.jpg,1350,818,karies,61,307,123,365
Karies-0-gaussian-blur.jpg,1350,818,karies,124,304,191,355
Karies-0-gaussian-blur.jpg,1350,818,karies,180,237,284,319
Karies-0-gaussian-blur.jpg,1350,818,karies,718,547,779,595
Karies-0-gaussian-blur.jpg,1350,818,karies,1145,256,1216,315
Karies-0-grayscale.jpg,1350,818,karies,315,254,428,346
Karies-0-grayscale.jpg,1350,818,karies,432,398,485,472
Karies-0-grayscale.jpg,1350,818,karies,446,232,591,331
Karies-0-grayscale.jpg,1350,818,karies,668,203,783,297
Karies-0-grayscale.jpg,1350,818,karies,924,203,1065,300
Karies-0-grayscale.jpg,1350,818,karies,1036,269,1134,340
Karies-0-grayscale.jpg,1350,818,karies,596,545,678,618
Karies-0-grayscale.jpg,1350,818,karies,812,543,892,609
Karies-0-grayscale.jpg,1350,818,karies,1038,486,1090,536
Karies-0-grayscale.jpg,1350,818,karies,1030,561,1175,665
Karies-0-grayscale.jpg,1350,818,karies,61,307,123,365
Karies-0-grayscale.jpg,1350,818,karies,124,304,191,355
Karies-0-grayscale.jpg,1350,818,karies,180,237,284,319
Karies-0-grayscale.jpg,1350,818,karies,718,547,779,595
Karies-0-grayscale.jpg,1350,818,karies,1145,256,1216,315
Karies-0-noise.jpg,1350,818,karies,315,254,428,346
Karies-0-noise.jpg,1350,818,karies,432,398,485,472
Karies-0-noise.jpg,1350,818,karies,446,232,591,331
Karies-0-noise.jpg,1350,818,karies,668,203,783,297
Karies-0-noise.jpg,1350,818,karies,924,203,1065,300
Karies-0-noise.jpg,1350,818,karies,1036,269,1134,340
Karies-0-noise.jpg,1350,818,karies,596,545,678,618
Karies-0-noise.jpg,1350,818,karies,812,543,892,609
Karies-0-noise.jpg,1350,818,karies,1038,486,1090,536
Karies-0-noise.jpg,1350,818,karies,1030,561,1175,665
Karies-0-noise.jpg,1350,818,karies,61,307,123,365
Karies-0-noise.jpg,1350,818,karies,124,304,191,355
Karies-0-noise.jpg,1350,818,karies,180,237,284,319
Karies-0-noise.jpg,1350,818,karies,718,547,779,595
Karies-0-noise.jpg,1350,818,karies,1145,256,1216,315
Karies-0-sharpen.jpg,1350,818,karies,315,254,428,346
Karies-0-sharpen.jpg,1350,818,karies,432,398,485,472
Karies-0-sharpen.jpg,1350,818,karies,446,232,591,331
Karies-0-sharpen.jpg,1350,818,karies,668,203,783,297
Karies-0-sharpen.jpg,1350,818,karies,924,203,1065,300
Karies-0-sharpen.jpg,1350,818,karies,1036,269,1134,340
Karies-0-sharpen.jpg,1350,818,karies,596,545,678,618
Karies-0-sharpen.jpg,1350,818,karies,812,543,892,609
Karies-0-sharpen.jpg,1350,818,karies,1038,486,1090,536
Karies-0-sharpen.jpg,1350,818,karies,1030,561,1175,665
Karies-0-sharpen.jpg,1350,818,karies,61,307,123,365
Karies-0-sharpen.jpg,1350,818,karies,124,304,191,355
Karies-0-sharpen.jpg,1350,818,karies,180,237,284,319
Karies-0-sharpen.jpg,1350,818,karies,718,547,779,595
Karies-0-sharpen.jpg,1350,818,karies,1145,256,1216,315
Karies-0.jpg,1350,818,karies,315,254,428,346
Karies-0.jpg,1350,818,karies,432,398,485,472
Karies-0.jpg,1350,818,karies,446,232,591,331
Karies-0.jpg,1350,818,karies,668,203,783,297
Karies-0.jpg,1350,818,karies,924,203,1065,300
Karies-0.jpg,1350,818,karies,1036,269,1134,340
Karies-0.jpg,1350,818,karies,596,545,678,618
Karies-0.jpg,1350,818,karies,812,543,892,609
Karies-0.jpg,1350,818,karies,1038,486,1090,536
Karies-0.jpg,1350,818,karies,1030,561,1175,665
Karies-0.jpg,1350,818,karies,61,307,123,365
Karies-0.jpg,1350,818,karies,124,304,191,355
Karies-0.jpg,1350,818,karies,180,237,284,319
Karies-0.jpg,1350,818,karies,718,547,779,595
Karies-0.jpg,1350,818,karies,1145,256,1216,315
Karies-1-BGR.jpg,793,515,karies,49,147,120,184
Karies-1-BGR.jpg,793,515,karies,414,306,459,351
Karies-1-BGR.jpg,793,515,karies,505,354,546,387
Karies-1-BGR.jpg,793,515,karies,702,331,787,385
Karies-1-BGR.jpg,793,515,karies,723,132,762,171
Karies-1-BGR.jpg,793,515,karies,509,282,539,309
Karies-1-BGR.jpg,793,515,karies,140,324,172,358
Karies-1-BGR.jpg,793,515,karies,661,245,735,302
Karies-1-BGR.jpg,793,515,karies,719,183,773,227
Karies-1-gaussian-blur.jpg,793,515,karies,49,147,120,184
Karies-1-gaussian-blur.jpg,793,515,karies,414,306,459,351
Karies-1-gaussian-blur.jpg,793,515,karies,505,354,546,387
Karies-1-gaussian-blur.jpg,793,515,karies,702,331,787,385
Karies-1-gaussian-blur.jpg,793,515,karies,723,132,762,171
Karies-1-gaussian-blur.jpg,793,515,karies,509,282,539,309
Karies-1-gaussian-blur.jpg,793,515,karies,140,324,172,358
Karies-1-gaussian-blur.jpg,793,515,karies,661,245,735,302
Karies-1-gaussian-blur.jpg,793,515,karies,719,183,773,227
Karies-1-grayscale.jpg,793,515,karies,49,147,120,184
Karies-1-grayscale.jpg,793,515,karies,414,306,459,351
Karies-1-grayscale.jpg,793,515,karies,505,354,546,387
Karies-1-grayscale.jpg,793,515,karies,702,331,787,385
Karies-1-grayscale.jpg,793,515,karies,723,132,762,171
Karies-1-grayscale.jpg,793,515,karies,509,282,539,309
Karies-1-grayscale.jpg,793,515,karies,140,324,172,358
Karies-1-grayscale.jpg,793,515,karies,661,245,735,302
Karies-1-grayscale.jpg,793,515,karies,719,183,773,227
Karies-1-noise.jpg,793,515,karies,49,147,120,184
Karies-1-noise.jpg,793,515,karies,414,306,459,351
Karies-1-noise.jpg,793,515,karies,505,354,546,387
Karies-1-noise.jpg,793,515,karies,702,331,787,385
Karies-1-noise.jpg,793,515,karies,723,132,762,171
Karies-1-noise.jpg,793,515,karies,509,282,539,309
Karies-1-noise.jpg,793,515,karies,140,324,172,358
Karies-1-noise.jpg,793,515,karies,661,245,735,302
Karies-1-noise.jpg,793,515,karies,719,183,773,227
Karies-1-sharpen.jpg,793,515,karies,49,147,120,184
Karies-1-sharpen.jpg,793,515,karies,414,306,459,351
Karies-1-sharpen.jpg,793,515,karies,505,354,546,387
Karies-1-sharpen.jpg,793,515,karies,702,331,787,385
Karies-1-sharpen.jpg,793,515,karies,723,132,762,171
