Step,CMAValue
100,2.033430
200,1.421060
300,1.263868
400,1.176933
500,1.129575
600,1.091495
700,1.020906
800,0.987817
900,0.959371
1000,0.905920
1100,0.850361
1200,0.891371
1300,0.857849
1400,0.851247
1500,0.854886
1600,0.858636
1700,0.838907
1800,0.852729
1900,0.844721
2000,0.830175
2100,0.824107
2200,0.820714
2300,0.799004
2400,0.779681
2500,0.786599
2600,0.767753
2700,0.767365
2800,0.779987
2900,0.779202
3000,0.764541
3100,0.759205
3200,0.742802
3300,0.726410
3400,0.721596
3500,0.706965
3600,0.695398
3700,0.686545
3800,0.675489
3900,0.664275
4000,0.653420
4100,0.659095
4200,0.648624
4300,0.638223
4400,0.628280
4500,0.625250
4600,0.614647
4700,0.606059
4800,0.596391
4900,0.588389
5000,0.579183
5100,0.570458
5200,0.563303
5300,0.559399
5400,0.550542
5500,0.542867
5600,0.537540
5700,0.530290
5800,0.523364
5900,0.516851
6000,0.510925
6100,0.505367
6200,0.499562
6300,0.492569
6400,0.486958
6500,0.483110
6600,0.479931
6700,0.474575
6800,0.468983
6900,0.463706
7000,0.458536
7100,0.454415
7200,0.448945
7300,0.443989
7400,0.439012
7500,0.434509
7600,0.429329
7700,0.425165
7800,0.420682
7900,0.416536
8000,0.417592
8100,0.413205
8200,0.409770
8300,0.405886
8400,0.401976
8500,0.397941
8600,0.394384
8700,0.390447
8800,0.387132
8900,0.383351
9000,0.380510
9100,0.378496
9200,0.374436
9300,0.370956
9400,0.368840
9500,0.365239
9600,0.361680
9700,0.358725
9800,0.355586
9900,0.352225
10000,0.349513
10100,0.346652
10200,0.344400
10300,0.341349
10400,0.338658
10500,0.335686
10600,0.332870
10700,0.330280
10800,0.327430
10900,0.324904
11000,0.323155
11100,0.320856
11200,0.318567
11300,0.315996
11400,0.313911
11500,0.311357
11600,0.308897
11700,0.306456
11800,0.303957
11900,0.301649
12000,0.299253
12100,0.297068
12200,0.294833
12300,0.292638
12400,0.290617
12500,0.288410
12600,0.286197
12700,0.284456
12800,0.282487
12900,0.280416
13000,0.278378
13100,0.276366
13200,0.274410
13300,0.272487
13400,0.270960
13500,0.270514
13600,0.268675
13700,0.266900
13800,0.265195
13900,0.263415
14000,0.261676
14100,0.260077
14200,0.258690
14300,0.256943
14400,0.255233
14500,0.253634
14600,0.251959
14700,0.250336
14800,0.248696
14900,0.247216
15000,0.245679
